"sample","virus","uniquely_mapped_reads","mismatch_rate_per_base"
"SRR22753413","VZV_Ellen","0","-nan%"
"SRR22753414","combined_herpes_viruses","0","-nan%"
"SRR22753414","EBV","0","-nan%"
"SRR22753414","HCMV","0","-nan%"
"SRR22753414","HHV6B","0","-nan%"
"SRR22753414","HHV7","0","-nan%"
"SRR22753414","HSV1_KOS","6","3.64%"
"SRR22753414","HSV2_StrainG","1","8.33%"
"SRR22753414","KSHV","0","-nan%"
"SRR22753414","VZV_Ellen","0","-nan%"
"SRR22753415","combined_herpes_viruses","0","-nan%"
"SRR22753415","EBV","0","-nan%"
"SRR22753415","HCMV","0","-nan%"
"SRR22753415","HHV6B","0","-nan%"
"SRR22753415","HHV7","0","-nan%"
"SRR22753415","HSV1_KOS","0","-nan%"
"SRR22753415","HSV2_StrainG","1","9.52%"
"SRR22753415","KSHV","2","7.89%"
"SRR22753415","VZV_Ellen","0","-nan%"
"SRR22753416","EBV","0","-nan%"
"SRR22753416","HCMV","0","-nan%"
"SRR22753416","HHV6B","1","8.45%"
"SRR22753416","HHV7","0","-nan%"
"SRR22753416","HSV1_KOS","0","-nan%"
"SRR22753416","HSV2_StrainG","1","10.39%"
"SRR22753416","KSHV","1","5.13%"
"SRR22753416","VZV_Ellen","0","-nan%"
"SRR22753417","combined_herpes_viruses","0","-nan%"
"SRR22753417","EBV","0","-nan%"
"SRR22753417","HCMV","0","-nan%"
"SRR22753417","HHV6B","0","-nan%"
"SRR22753417","HHV7","0","-nan%"
"SRR22753417","HSV1_KOS","2","5.41%"
"SRR22753417","HSV2_StrainG","4","8.85%"
"SRR22753417","KSHV","5","8.53%"
"SRR22753417","VZV_Ellen","0","-nan%"
"SRR22753418","combined_herpes_viruses","0","-nan%"
"SRR22753418","EBV","0","-nan%"
"SRR22753418","HCMV","1","5.88%"
"SRR22753418","HHV6B","0","-nan%"
"SRR22753418","HHV7","0","-nan%"
"SRR22753418","HSV1_KOS","1","7.79%"
"SRR22753418","HSV2_StrainG","0","-nan%"
"SRR22753418","KSHV","2","5.96%"
"SRR22753418","VZV_Ellen","0","-nan%"
"SRR22753419","combined_herpes_viruses","0","-nan%"
"SRR22753419","EBV","0","-nan%"
"SRR22753419","HCMV","0","-nan%"
